,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8254887035697471,2023-08-24 12:45:33.667910,2023-08-24 12:45:35.164039,0 days 00:00:01.496129,0.7000000000000001,1,0.4,1.236505600158198e-05,0.17344935338754142,90,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8336421886383591,2023-08-24 12:45:33.670753,2023-08-24 12:45:34.251420,0 days 00:00:00.580667,0.4,2,0.5,0.001439646349883922,0.01877482598950587,80,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.834928971711399,2023-08-24 12:45:33.671772,2023-08-24 12:45:34.504418,0 days 00:00:00.832646,0.7000000000000001,1,0.8,0.004789733272799579,0.22188647077414136,20,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8268449648466911,2023-08-24 12:45:33.673947,2023-08-24 12:45:35.316550,0 days 00:00:01.642603,1.0,1,0.6000000000000001,0.1578881995484713,0.010399263317863033,90,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.827433464109586,2023-08-24 12:45:33.677976,2023-08-24 12:45:37.189372,0 days 00:00:03.511396,0.9,3,0.5,0.0012061401682961577,0.0012318911474220224,40,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8317445702215243,2023-08-24 12:45:33.679148,2023-08-24 12:45:35.246600,0 days 00:00:01.567452,0.7000000000000001,1,0.9,0.5765624122001166,0.0003447833649103485,70,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8282891271929365,2023-08-24 12:45:33.682124,2023-08-24 12:45:40.628715,0 days 00:00:06.946591,0.8,2,0.9,0.00025536952042284027,0.030147218052138613,10,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8249877676183646,2023-08-24 12:45:33.683626,2023-08-24 12:45:34.893898,0 days 00:00:01.210272,0.4,3,0.6000000000000001,0.0006746449762479677,4.3914429094085174e-05,50,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8234662195220208,2023-08-24 12:45:34.293746,2023-08-24 12:45:36.474094,0 days 00:00:02.180348,0.9,2,1.0,5.750738165209786e-07,0.0007447814564197569,80,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8273619012193645,2023-08-24 12:45:34.548034,2023-08-24 12:45:39.063282,0 days 00:00:04.515248,1.0,3,0.8,0.2135994078975331,0.1915618967965268,20,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8274223467434897,2023-08-24 12:45:34.936350,2023-08-24 12:45:36.177418,0 days 00:00:01.241068,0.7000000000000001,1,0.6000000000000001,0.001141454350861954,4.302240043535929e-05,70,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8230162510507144,2023-08-24 12:45:35.204652,2023-08-24 12:45:36.673916,0 days 00:00:01.469264,0.7000000000000001,3,1.0,8.58453413358761e-05,7.845284681690382e-08,90,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8279328680624792,2023-08-24 12:45:35.293558,2023-08-24 12:45:38.941241,0 days 00:00:03.647683,0.6000000000000001,2,0.6000000000000001,1.4952295771762723e-08,4.751172867501928e-05,20,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.826432189076155,2023-08-24 12:45:35.365574,2023-08-24 12:45:36.858437,0 days 00:00:01.492863,0.9,3,0.8,0.034606146701658264,0.000676889373811718,60,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.826394741002106,2023-08-24 12:45:36.227175,2023-08-24 12:45:39.548411,0 days 00:00:03.321236,0.4,1,0.6000000000000001,0.00014477283171520535,2.868529878268979e-07,20,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8243449206451199,2023-08-24 12:45:36.522042,2023-08-24 12:45:38.051020,0 days 00:00:01.528978,0.8,2,0.7000000000000001,0.006333788779360961,1.572658639567349e-07,70,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8273077060526284,2023-08-24 12:45:36.714980,2023-08-24 12:45:40.050556,0 days 00:00:03.335576,0.6000000000000001,1,0.7000000000000001,0.0004890938119316231,1.1540280850028018e-06,30,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8181092798146279,2023-08-24 12:45:36.907955,2023-08-24 12:45:41.769323,0 days 00:00:04.861368,0.5,2,0.8,2.5976204734871785e-08,0.4105023979414332,10,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8034542180300401,2023-08-24 12:45:37.241953,2023-08-24 12:45:37.458144,0 days 00:00:00.216191,0.4,2,0.8,0.010499699097430685,0.7424038064701777,20,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8252807112621731,2023-08-24 12:45:37.506481,2023-08-24 12:45:37.774308,0 days 00:00:00.267827,0.5,2,0.4,0.014926297730918196,0.057769946973305904,20,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8228355621872687,2023-08-24 12:45:37.818813,2023-08-24 12:45:42.678412,0 days 00:00:04.859599,0.5,2,0.7000000000000001,2.7729718576080232e-05,0.7420864933465415,10,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.8230658263305323,2023-08-24 12:45:38.094553,2023-08-24 12:45:43.075282,0 days 00:00:04.980729,0.5,1,0.8,0.00011190909996879499,0.6017183615687484,10,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.8298557235388904,2023-08-24 12:45:39.010142,2023-08-24 12:45:41.062778,0 days 00:00:02.052636,0.5,1,0.8,7.910535180221561e-05,0.9873691384714792,40,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.8268973587428954,2023-08-24 12:45:39.125871,2023-08-24 12:45:41.177699,0 days 00:00:02.051828,0.5,1,0.7000000000000001,5.527028054511309e-05,0.015519179948721979,40,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.8247196738022426,2023-08-24 12:45:39.602722,2023-08-24 12:45:41.668579,0 days 00:00:02.065857,0.6000000000000001,1,0.7000000000000001,0.8728445162885333,0.012812169709819826,40,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.8220221981844642,2023-08-24 12:45:40.095651,2023-08-24 12:45:41.717202,0 days 00:00:01.621551,0.5,2,0.5,0.05666415889558397,0.030838145341174655,50,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.8356238701387955,2023-08-24 12:45:40.674260,2023-08-24 12:45:41.944993,0 days 00:00:01.270733,0.5,1,0.5,0.03812775955249798,0.8905969235410053,100,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.8297734023276233,2023-08-24 12:45:41.108781,2023-08-24 12:45:42.558878,0 days 00:00:01.450097,0.6000000000000001,2,0.5,0.9501762774311076,0.0067126544543168794,100,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.824460420567589,2023-08-24 12:45:41.226444,2023-08-24 12:45:42.439572,0 days 00:00:01.213128,0.6000000000000001,1,0.9,0.8920090892368521,0.0023261057761860934,100,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.8278644126046669,2023-08-24 12:45:41.764113,2023-08-24 12:45:43.805298,0 days 00:00:02.041185,0.8,1,0.9,0.004952599726416416,0.0026846957872907395,100,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
