,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.610786533915479,2023-08-24 12:46:28.076088,2023-08-24 12:46:29.298733,0 days 00:00:01.222645,0.4,1,0.7000000000000001,0.0704485136798609,0.001968990506144201,60,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6244524428444516,2023-08-24 12:46:28.078247,2023-08-24 12:46:30.799551,0 days 00:00:02.721304,0.7000000000000001,1,0.4,0.00011714686361186208,3.0234632946129325e-06,30,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6269771616471571,2023-08-24 12:46:28.080397,2023-08-24 12:46:31.635274,0 days 00:00:03.554877,1.0,3,0.7000000000000001,0.018674283187467316,4.206925053305427e-08,30,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6373727842872164,2023-08-24 12:46:28.082688,2023-08-24 12:46:29.025838,0 days 00:00:00.943150,0.6000000000000001,1,0.5,3.364413178602132e-07,4.7992763101482096e-08,80,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6169139574264028,2023-08-24 12:46:28.086475,2023-08-24 12:46:29.880429,0 days 00:00:01.793954,0.4,1,0.4,0.0865810916412585,9.896573976242467e-08,30,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6222744953151139,2023-08-24 12:46:28.094429,2023-08-24 12:46:30.321410,0 days 00:00:02.226981,0.5,2,0.4,2.0064972939694008e-07,0.0002606283907735687,30,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6288370930603189,2023-08-24 12:46:28.099463,2023-08-24 12:46:29.346541,0 days 00:00:01.247078,0.7000000000000001,2,0.4,4.1210916224842236e-07,1.3524349988886166e-06,90,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6296877742617591,2023-08-24 12:46:28.106321,2023-08-24 12:46:29.779543,0 days 00:00:01.673222,0.7000000000000001,3,0.7000000000000001,6.686773767535853e-08,0.044918739070503685,60,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6292408554315128,2023-08-24 12:46:29.075312,2023-08-24 12:46:32.055177,0 days 00:00:02.979865,0.9,2,0.9,0.0016079008468483438,0.2334580582189897,60,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6330595944539754,2023-08-24 12:46:29.340514,2023-08-24 12:46:30.494083,0 days 00:00:01.153569,0.7000000000000001,1,0.6000000000000001,5.078360889155271e-08,0.03009511767184854,90,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6242700832583259,2023-08-24 12:46:29.395337,2023-08-24 12:46:34.573382,0 days 00:00:05.178045,1.0,3,0.8,0.00043427038492191926,0.007940110409680397,10,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6313610506817557,2023-08-24 12:46:29.821806,2023-08-24 12:46:31.961266,0 days 00:00:02.139460,0.7000000000000001,1,0.6000000000000001,2.049824918575145e-07,0.0005127339117676353,40,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6340303362675892,2023-08-24 12:46:29.928066,2023-08-24 12:46:32.374485,0 days 00:00:02.446419,0.7000000000000001,2,1.0,0.008831788140300834,4.798353265718368e-07,60,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6225091178397657,2023-08-24 12:46:30.366075,2023-08-24 12:46:37.118341,0 days 00:00:06.752266,0.9,2,0.5,3.964484245156983e-07,0.5231833473936349,10,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6221086552714036,2023-08-24 12:46:30.538753,2023-08-24 12:46:32.318092,0 days 00:00:01.779339,0.7000000000000001,3,0.6000000000000001,0.06195740597340194,0.0029398844746151135,30,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.634785926079105,2023-08-24 12:46:30.852121,2023-08-24 12:46:32.839246,0 days 00:00:01.987125,1.0,1,0.7000000000000001,0.19836560495642327,0.0014069084316996245,70,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6258566332179323,2023-08-24 12:46:31.676037,2023-08-24 12:46:35.091994,0 days 00:00:03.415957,0.7000000000000001,2,0.4,2.518181189306419e-05,0.016155317934123566,30,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6286445312134237,2023-08-24 12:46:32.008244,2023-08-24 12:46:34.031761,0 days 00:00:02.023517,0.9,2,1.0,1.3434148866009748e-05,1.2646692912019739e-08,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6363716066372934,2023-08-24 12:46:32.105644,2023-08-24 12:46:33.277848,0 days 00:00:01.172204,0.6000000000000001,1,0.6000000000000001,1.0840830694714622e-08,1.3210723347722868e-05,100,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6303968410106516,2023-08-24 12:46:32.368871,2023-08-24 12:46:33.547557,0 days 00:00:01.178686,0.5,1,0.6000000000000001,1.1082014908112828e-08,1.9516814195076666e-05,100,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6106683295715352,2023-08-24 12:46:32.453167,2023-08-24 12:46:33.745224,0 days 00:00:01.292057,0.5,2,1.0,6.354427195914266e-06,1.5020114893475957e-08,80,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6317299255793577,2023-08-24 12:46:32.881187,2023-08-24 12:46:34.906663,0 days 00:00:02.025476,0.9,1,0.9,0.9698936591858034,2.4552158178937137e-05,80,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6322257428631952,2023-08-24 12:46:33.326104,2023-08-24 12:46:34.459533,0 days 00:00:01.133429,0.5,1,0.5,1.563799923318421e-08,1.6208184290616023e-05,100,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.634224327251157,2023-08-24 12:46:33.591314,2023-08-24 12:46:34.783692,0 days 00:00:01.192378,0.5,2,0.5,3.074147215950909e-06,2.626034075398299e-08,80,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6276508750187773,2023-08-24 12:46:33.790831,2023-08-24 12:46:40.276805,0 days 00:00:06.485974,0.6000000000000001,1,0.5,2.525163514150818e-06,1.8355707032594e-05,10,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
