,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7579467920638109,2023-08-24 12:47:18.971414,2023-08-24 12:47:19.805614,0 days 00:00:00.834200,0.5,3,0.6000000000000001,0.011660829398589609,5.114225423174738e-07,80,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7546528982668235,2023-08-24 12:47:18.974443,2023-08-24 12:47:21.376657,0 days 00:00:02.402214,0.5,1,0.5,0.00019286434951881228,0.0012836068361601787,30,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7671878819088773,2023-08-24 12:47:18.975703,2023-08-24 12:47:20.680354,0 days 00:00:01.704651,0.6000000000000001,2,0.6000000000000001,0.03380741504679079,2.3767351057057427e-07,80,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7618705769222247,2023-08-24 12:47:18.977713,2023-08-24 12:47:22.562303,0 days 00:00:03.584590,1.0,2,0.6000000000000001,3.13881166706961e-06,1.4074904668528948e-06,30,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.755547686496695,2023-08-24 12:47:18.980483,2023-08-24 12:47:20.485005,0 days 00:00:01.504522,1.0,1,1.0,4.312666659031627e-07,4.227701115563389e-05,90,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7579578593228369,2023-08-24 12:47:18.981427,2023-08-24 12:47:20.225309,0 days 00:00:01.243882,0.4,1,0.4,0.5705305307116683,0.02112102212070735,10,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7579976027658457,2023-08-24 12:47:18.984400,2023-08-24 12:47:20.282813,0 days 00:00:01.298413,0.9,2,0.6000000000000001,1.875141995129682e-08,0.0182124069153862,100,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7667236393885565,2023-08-24 12:47:18.985385,2023-08-24 12:47:21.653617,0 days 00:00:02.668232,0.8,2,0.6000000000000001,0.6863677506112768,0.0053636157967524595,50,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7633591026026092,2023-08-24 12:47:19.848236,2023-08-24 12:47:23.180092,0 days 00:00:03.331856,0.8,2,0.5,0.06198347329348908,4.0544703196174323e-07,20,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7531847159754137,2023-08-24 12:47:20.270625,2023-08-24 12:47:21.328298,0 days 00:00:01.057673,0.4,3,1.0,0.3268391086483704,0.29036250745127906,60,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7449078998936229,2023-08-24 12:47:20.328801,2023-08-24 12:47:22.235685,0 days 00:00:01.906884,0.4,3,1.0,1.5278228382670414e-08,3.625816870739884e-07,30,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7573510602742131,2023-08-24 12:47:20.528475,2023-08-24 12:47:23.121575,0 days 00:00:02.593100,0.6000000000000001,1,0.4,0.00022149946201078307,1.5639796942879438e-06,30,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7604257042049859,2023-08-24 12:47:20.721702,2023-08-24 12:47:24.884027,0 days 00:00:04.162325,0.9,3,0.5,0.0025277357094960783,6.2935633503033e-05,30,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7648400043181266,2023-08-24 12:47:21.370807,2023-08-24 12:47:23.840372,0 days 00:00:02.469565,0.5,3,0.5,0.009259235179637877,4.57495432105504e-07,30,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7681184301621453,2023-08-24 12:47:21.424063,2023-08-24 12:47:22.168620,0 days 00:00:00.744557,0.6000000000000001,3,0.8,1.6342582524379066e-05,8.369780344291572e-06,30,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.754045178322898,2023-08-24 12:47:21.694719,2023-08-24 12:47:22.875897,0 days 00:00:01.181178,0.6000000000000001,2,0.7000000000000001,4.436072965371445e-06,1.8312135695312738e-07,90,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7739715676946326,2023-08-24 12:47:22.220360,2023-08-24 12:47:26.657700,0 days 00:00:04.437340,0.7000000000000001,3,0.8,0.00042113939899979887,0.00026776576905928695,20,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7662724432215642,2023-08-24 12:47:22.282129,2023-08-24 12:47:29.414179,0 days 00:00:07.132050,0.7000000000000001,3,0.8,1.753212133315483e-05,2.3719426945974954e-05,10,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7584463305303311,2023-08-24 12:47:22.605102,2023-08-24 12:47:24.421645,0 days 00:00:01.816543,0.7000000000000001,2,0.8,0.0016799777547378794,1.206422464445534e-08,70,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7651883614374633,2023-08-24 12:47:22.920828,2023-08-24 12:47:25.159135,0 days 00:00:02.238307,0.7000000000000001,3,0.8,0.0010140484971052112,1.552852809545157e-08,60,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.756105267993753,2023-08-24 12:47:23.169971,2023-08-24 12:47:25.091368,0 days 00:00:01.921397,0.7000000000000001,3,0.8,0.0038297497201812375,1.1060469343048339e-08,60,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7594677570119612,2023-08-24 12:47:23.231940,2023-08-24 12:47:25.871329,0 days 00:00:02.639389,0.7000000000000001,3,0.8,0.0032025553222324228,1.1216134676078394e-08,60,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7378935447444592,2023-08-24 12:47:23.888465,2023-08-24 12:47:24.083411,0 days 00:00:00.194946,0.7000000000000001,3,0.8,0.0010653537637120678,1.2393428672121983e-08,60,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7511828301653944,2023-08-24 12:47:24.129267,2023-08-24 12:47:26.083523,0 days 00:00:01.954256,0.7000000000000001,2,0.8,2.6626843729571234e-05,3.116573774061693e-05,70,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7536273818040651,2023-08-24 12:47:24.470028,2023-08-24 12:47:24.721546,0 days 00:00:00.251518,0.6000000000000001,3,0.8,3.306651956326979e-05,2.3707067291732528e-05,50,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.7603568462407033,2023-08-24 12:47:24.786874,2023-08-24 12:47:26.949376,0 days 00:00:02.162502,0.8,2,0.9,3.3622968340506525e-05,1.1355717540835438e-05,70,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.757519031981192,2023-08-24 12:47:24.932708,2023-08-24 12:47:26.830410,0 days 00:00:01.897702,0.6000000000000001,2,0.9,0.047660671370559037,8.419462445744738e-06,70,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
