,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7565697781807802,2023-08-24 13:12:19.680358,2023-08-24 13:12:21.252579,0 days 00:00:01.572221,0.7000000000000001,3,0.5,1.334753358635298e-06,0.9440558619399756,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7556037852370532,2023-08-24 13:12:19.682446,2023-08-24 13:12:21.495693,0 days 00:00:01.813247,0.6000000000000001,1,0.9,2.1394849151390535e-08,1.4010810301353548e-07,30,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7570711877244708,2023-08-24 13:12:19.684460,2023-08-24 13:12:21.446329,0 days 00:00:01.761869,1.0,2,0.5,5.543630245171084e-05,0.3540373205426291,80,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7651883614374633,2023-08-24 13:12:19.688060,2023-08-24 13:12:23.597358,0 days 00:00:03.909298,0.9,1,0.9,4.612530920222153e-05,0.007664870342066295,40,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7542137801669214,2023-08-24 13:12:19.692324,2023-08-24 13:12:21.018956,0 days 00:00:01.326632,0.9,3,0.5,3.085499929656159e-07,2.273176388677353e-06,90,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7540929149607267,2023-08-24 13:12:19.697322,2023-08-24 13:12:22.058998,0 days 00:00:02.361676,1.0,1,0.7000000000000001,2.491987720345908e-06,2.4912505427555174e-07,60,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7550698927552966,2023-08-24 13:12:19.700091,2023-08-24 13:12:24.553365,0 days 00:00:04.853274,0.9,1,0.4,0.22110289961359775,0.0004548981996114172,20,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7535554688608312,2023-08-24 13:12:19.706138,2023-08-24 13:12:22.004597,0 days 00:00:02.298459,0.7000000000000001,2,0.8,0.166793833132776,9.47462882378938e-06,40,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7570838769554363,2023-08-24 13:12:21.064861,2023-08-24 13:12:22.495354,0 days 00:00:01.430493,0.7000000000000001,3,0.8,1.6115447258406348e-06,0.05517999016078515,100,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7546597640035446,2023-08-24 13:12:21.310627,2023-08-24 13:12:23.764392,0 days 00:00:02.453765,0.4,2,1.0,0.0014644545369502683,0.008836604194770106,30,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
