,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8190767836454012,2023-08-24 13:28:56.369522,2023-08-24 13:29:06.084637,0 days 00:00:09.715115,0.8,3,0.6000000000000001,1.7498894761451507e-07,4.763756429829578e-08,10,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8205782056769735,2023-08-24 13:28:56.372594,2023-08-24 13:29:00.247081,0 days 00:00:03.874487,0.5,1,0.7000000000000001,0.00028765022250672016,0.7894145583088954,30,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8244195863972843,2023-08-24 13:28:56.374117,2023-08-24 13:28:59.642843,0 days 00:00:03.268726,0.8,3,0.6000000000000001,3.6249689308641565e-07,0.0008256710646465288,60,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8196109722843965,2023-08-24 13:28:56.376257,2023-08-24 13:28:57.289676,0 days 00:00:00.913419,0.4,1,0.4,0.11712591602073474,0.10250582504385644,100,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8219939310592246,2023-08-24 13:28:56.379439,2023-08-24 13:28:58.599663,0 days 00:00:02.220224,0.8,1,0.6000000000000001,8.892161740304239e-06,1.575193726736979e-05,90,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8209967388968313,2023-08-24 13:28:56.387466,2023-08-24 13:28:57.718124,0 days 00:00:01.330658,0.6000000000000001,1,0.4,0.10664814070700686,1.0328900173105706e-07,100,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8190138778287478,2023-08-24 13:28:56.388326,2023-08-24 13:29:01.152879,0 days 00:00:04.764553,0.5,2,0.5,0.0006998775816188458,1.2462784581343763e-08,10,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8273077060526284,2023-08-24 13:28:56.390826,2023-08-24 13:28:58.681167,0 days 00:00:02.290341,0.7000000000000001,3,0.7000000000000001,0.0020196301319768354,1.2236936878928408e-07,90,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8174842004252181,2023-08-24 13:28:57.342767,2023-08-24 13:28:59.585483,0 days 00:00:02.242716,1.0,3,0.4,1.0721969022210025e-07,0.015929718088306677,80,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8345141700404858,2023-08-24 13:28:57.766225,2023-08-24 13:29:00.636560,0 days 00:00:02.870335,0.6000000000000001,1,1.0,1.866519937323514e-06,0.00017688862514318897,70,69,COMPLETE,1.0,0.8348623853211009,0.8344558672098854,0.8366033410683308,0.8345141700404858,0.7978515625,0.8581932773109243,0.8269230769230769,0.8710601719197708,0.8150134048257373,0.8421052631578947,0.8081500180310134,0.8050964316780855,0.8098117695213171,0.8062444706421306,0.7549923195084486,0.8219063545150501,0.7870296236989592,0.8552005438477226,0.797717184527584,0.8254593175853018
10,10,0.819567995399525,2023-08-24 13:28:58.649752,2023-08-24 13:29:06.315844,0 days 00:00:07.666092,0.6000000000000001,1,0.5,1.5565372580498029e-06,0.1343751094196671,10,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8248962039223895,2023-08-24 13:28:58.732212,2023-08-24 13:29:00.437435,0 days 00:00:01.705223,0.4,1,1.0,5.926421958458216e-07,1.0027261710119375e-08,90,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8243127373633485,2023-08-24 13:28:59.638202,2023-08-24 13:29:04.349058,0 days 00:00:04.710856,0.7000000000000001,1,1.0,0.02727726144209158,4.6690197222726e-07,50,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8291032433689707,2023-08-24 13:28:59.701204,2023-08-24 13:29:02.403815,0 days 00:00:02.702611,0.5,1,1.0,0.001225373935413209,2.8277647186463827e-07,10,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.8185381411623138,2023-08-24 13:29:00.300054,2023-08-24 13:29:03.099847,0 days 00:00:02.799793,0.8,3,0.5,0.0002462899921249696,1.8152502182235872e-07,70,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8253127172255875,2023-08-24 13:29:00.500638,2023-08-24 13:29:04.584466,0 days 00:00:04.083828,1.0,2,0.9,4.6566980700667147e-05,0.5061465397418043,50,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8205205350879632,2023-08-24 13:29:00.688864,2023-08-24 13:29:04.700072,0 days 00:00:04.011208,1.0,3,0.4,0.9554469487590822,5.077498574599074e-05,60,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8205354592311629,2023-08-24 13:29:01.204386,2023-08-24 13:29:06.613745,0 days 00:00:05.409359,1.0,2,1.0,3.7203918521283214e-08,3.523253844808457e-05,60,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8134939932638101,2023-08-24 13:29:02.459289,2023-08-24 13:29:03.377949,0 days 00:00:00.918660,0.6000000000000001,2,1.0,1.3641157011260286e-05,1.4717741879405667e-05,50,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.815946242775648,2023-08-24 13:29:03.153628,2023-08-24 13:29:03.878230,0 days 00:00:00.724602,0.6000000000000001,2,1.0,7.22449942512365e-06,5.023899241450614e-05,30,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8087699182174035,2023-08-24 13:29:03.430504,2023-08-24 13:29:03.761529,0 days 00:00:00.331025,0.6000000000000001,2,0.9,2.0028670527901582e-08,0.00015814348126674902,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.818945511190234,2023-08-24 13:29:03.816046,2023-08-24 13:29:15.092321,0 days 00:00:11.276275,0.5,1,0.9,0.009971819881499712,3.3436157488570707e-06,10,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.816585920063784,2023-08-24 13:29:03.935129,2023-08-24 13:29:14.150685,0 days 00:00:10.215556,0.5,1,0.8,0.006246162566846738,2.3345282985559808e-06,10,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.8180460376032332,2023-08-24 13:29:04.420554,2023-08-24 13:29:08.229444,0 days 00:00:03.808890,0.5,1,0.8,0.004268461258062901,2.1791889306433542e-06,20,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.8175538043906243,2023-08-24 13:29:04.643151,2023-08-24 13:29:07.945058,0 days 00:00:03.301907,0.5,1,0.8,0.005032015066257778,2.469268263884054e-06,10,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.8254008362943821,2023-08-24 13:29:04.758086,2023-08-24 13:29:07.447185,0 days 00:00:02.689099,0.5,1,0.8,0.0031005243205919435,1.7632345206011405e-06,20,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.8248366361247248,2023-08-24 13:29:06.132965,2023-08-24 13:29:12.636687,0 days 00:00:06.503722,0.5,1,0.8,0.003506447542117774,1.8889797518010585e-06,20,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.8235433629087059,2023-08-24 13:29:06.364579,2023-08-24 13:29:08.529032,0 days 00:00:02.164453,0.5,1,0.8,5.2572469866072995e-05,1.071932616158449e-06,70,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.8254530130636326,2023-08-24 13:29:06.667027,2023-08-24 13:29:09.317741,0 days 00:00:02.650714,0.7000000000000001,1,0.8,0.0014934419354305476,2.0510485200490696e-06,80,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.8127642605190843,2023-08-24 13:29:07.493974,2023-08-24 13:29:10.311208,0 days 00:00:02.817234,0.7000000000000001,2,0.9,0.0022283298994271433,1.696415999896414e-06,80,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.8224989111358401,2023-08-24 13:29:07.996245,2023-08-24 13:29:11.149032,0 days 00:00:03.152787,0.7000000000000001,2,0.9,4.313878593207375e-05,9.261016757436549e-07,80,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.8224989111358401,2023-08-24 13:29:08.282086,2023-08-24 13:29:11.098192,0 days 00:00:02.816106,0.7000000000000001,2,0.9,4.9478817091856255e-05,5.077850717457221e-07,80,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.8214728995647083,2023-08-24 13:29:08.583918,2023-08-24 13:29:11.319992,0 days 00:00:02.736074,0.7000000000000001,2,0.9,0.0008678534244407226,3.7569777292840854e-07,80,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.8190138778287478,2023-08-24 13:29:09.387567,2023-08-24 13:29:12.203293,0 days 00:00:02.815726,0.7000000000000001,2,0.9,0.0002801149877806779,2.093966166273796e-07,80,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.8229166861352886,2023-08-24 13:29:10.378980,2023-08-24 13:29:14.741648,0 days 00:00:04.362668,0.9,2,0.9,0.00019277079998467587,4.639853516716369e-08,70,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.8253727783893526,2023-08-24 13:29:11.207622,2023-08-24 13:29:14.397121,0 days 00:00:03.189499,0.9,3,0.9,0.00022174899703890052,3.797360219054933e-08,90,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.8302100975475423,2023-08-24 13:29:11.215177,2023-08-24 13:29:15.439371,0 days 00:00:04.224194,0.9,3,0.7000000000000001,0.0002170934680166268,5.021324413583463e-08,70,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.832145025210818,2023-08-24 13:29:11.378080,2023-08-24 13:29:15.286177,0 days 00:00:03.908097,0.9,3,0.7000000000000001,0.0001942669324463254,4.563852217775659e-08,70,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.8307276341428328,2023-08-24 13:29:12.260189,2023-08-24 13:29:15.851208,0 days 00:00:03.591019,0.9,1,0.7000000000000001,0.010801305382820045,6.725047330651721e-08,90,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.8248366361247248,2023-08-24 13:29:12.691494,2023-08-24 13:29:15.202097,0 days 00:00:02.510603,0.6000000000000001,3,0.7000000000000001,0.00019528408242432848,4.790202938947739e-08,90,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.8260482462034673,2023-08-24 13:29:14.205660,2023-08-24 13:29:17.647704,0 days 00:00:03.442044,0.9,3,0.6000000000000001,0.0006179195952972037,5.8888057786183694e-08,90,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.8240208492074164,2023-08-24 13:29:14.444741,2023-08-24 13:29:16.348262,0 days 00:00:01.903521,0.4,1,0.7000000000000001,0.0004292210911116427,7.609289702186944e-08,70,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.8263110323678327,2023-08-24 13:29:14.800066,2023-08-24 13:29:16.503215,0 days 00:00:01.703149,0.6000000000000001,1,0.7000000000000001,0.0006604392986707606,6.4598909779250374e-06,100,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.824510248591398,2023-08-24 13:29:15.141395,2023-08-24 13:29:17.379807,0 days 00:00:02.238412,0.8,1,0.7000000000000001,0.0005207617542898661,6.776115425056386e-08,100,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.8253727783893526,2023-08-24 13:29:15.246880,2023-08-24 13:29:16.795910,0 days 00:00:01.549030,0.4,1,0.7000000000000001,0.0008376234120739402,6.976323498942166e-06,100,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.8132235954258116,2023-08-24 13:29:15.349182,2023-08-24 13:29:17.037385,0 days 00:00:01.688203,0.4,3,0.7000000000000001,0.0007094260106837331,0.0004455747787930062,70,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
