,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6023756684002323,2023-08-24 13:26:40.327286,2023-08-24 13:26:42.442801,0 days 00:00:02.115515,0.7000000000000001,3,0.8,0.0008357167405794637,2.4754588335445574e-06,50,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6137602714754467,2023-08-24 13:26:40.328866,2023-08-24 13:26:41.180711,0 days 00:00:00.851845,1.0,2,0.9,1.3348403464193558e-06,1.059488401975945e-07,70,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5962977099682157,2023-08-24 13:26:40.330126,2023-08-24 13:26:41.846546,0 days 00:00:01.516420,0.4,2,0.5,1.730863516667409e-06,1.3161419321715514e-08,40,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6009852907004578,2023-08-24 13:26:40.330954,2023-08-24 13:26:42.003899,0 days 00:00:01.672945,1.0,3,0.7000000000000001,0.039391975919150696,4.033005515579678e-05,30,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6061172916904403,2023-08-24 13:26:40.332004,2023-08-24 13:26:41.675090,0 days 00:00:01.343086,0.7000000000000001,2,0.8,2.6949226056449085e-05,3.953780103912315e-05,100,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.600547813416525,2023-08-24 13:26:40.333178,2023-08-24 13:26:45.622543,0 days 00:00:05.289365,0.8,3,1.0,3.2954623555327645e-07,1.4002833577477372e-07,20,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6120958345112835,2023-08-24 13:26:40.334083,2023-08-24 13:26:41.065941,0 days 00:00:00.731858,0.7000000000000001,3,0.5,1.0505279345479565e-05,2.143088047645329e-08,20,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6050271986203088,2023-08-24 13:26:40.335119,2023-08-24 13:26:42.515484,0 days 00:00:02.180365,0.6000000000000001,2,0.6000000000000001,4.904125305422645e-08,1.2290505093990691e-05,40,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.619502571818894,2023-08-24 13:26:41.120211,2023-08-24 13:26:41.412753,0 days 00:00:00.292542,0.4,2,0.5,0.027617004003204482,1.0597794454493594e-05,40,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5999862202494601,2023-08-24 13:26:41.225004,2023-08-24 13:26:42.631380,0 days 00:00:01.406376,0.7000000000000001,3,0.4,0.27764356253869116,0.9234296013423476,90,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
