,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6472061628667509,2023-08-24 13:27:27.488028,2023-08-24 13:27:29.964121,0 days 00:00:02.476093,0.9,3,0.7000000000000001,1.3786057363196095e-06,0.00907315824864574,60,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.653978456578999,2023-08-24 13:27:27.490958,2023-08-24 13:27:28.375505,0 days 00:00:00.884547,0.5,1,0.6000000000000001,0.0008781321232395735,0.3361366995844036,70,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6425795513062282,2023-08-24 13:27:27.494003,2023-08-24 13:27:29.557429,0 days 00:00:02.063426,0.8,3,0.7000000000000001,2.4784968592370205e-05,6.67778477962829e-06,50,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6482834605883674,2023-08-24 13:27:27.497141,2023-08-24 13:27:28.795315,0 days 00:00:01.298174,0.5,2,0.7000000000000001,0.0008743846920757284,2.0852851285936837e-06,70,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6453648655309787,2023-08-24 13:27:27.504378,2023-08-24 13:27:29.641402,0 days 00:00:02.137024,0.9,2,0.8,0.005114525159013874,1.330202360533751e-07,60,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6495094922506133,2023-08-24 13:27:27.508497,2023-08-24 13:27:28.709203,0 days 00:00:01.200706,0.6000000000000001,2,0.5,3.2131274013598304e-07,1.2008445493710393e-06,70,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.652196752526162,2023-08-24 13:27:27.510502,2023-08-24 13:27:29.110627,0 days 00:00:01.600125,0.7000000000000001,2,1.0,0.5677318369471765,5.068213005178166e-07,80,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.653009208558212,2023-08-24 13:27:27.512697,2023-08-24 13:27:28.312027,0 days 00:00:00.799330,0.6000000000000001,1,0.5,3.767005067528602e-08,3.5998934992452693e-06,70,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6444856373613832,2023-08-24 13:27:28.356038,2023-08-24 13:27:30.270778,0 days 00:00:01.914740,0.6000000000000001,3,0.9,0.006309832721246486,2.5752183155077797e-06,60,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6458012656062939,2023-08-24 13:27:28.420365,2023-08-24 13:27:29.495832,0 days 00:00:01.075467,0.4,1,0.5,0.0009184647619062096,0.007480138468207919,70,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6343724782222459,2023-08-24 13:27:28.749516,2023-08-24 13:27:30.564227,0 days 00:00:01.814711,0.9,2,0.4,6.199770893667541e-07,0.07717030389376583,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6361104657596808,2023-08-24 13:27:28.838490,2023-08-24 13:27:30.012676,0 days 00:00:01.174186,0.7000000000000001,1,0.4,0.0004873333255764369,0.0011321722656122367,100,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6444570418730585,2023-08-24 13:27:29.158331,2023-08-24 13:27:31.140654,0 days 00:00:01.982323,1.0,2,0.8,5.1728101469773015e-06,0.03386101113976793,80,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6443025098862305,2023-08-24 13:27:29.540357,2023-08-24 13:27:32.565688,0 days 00:00:03.025331,0.9,3,0.9,0.0018575879137543434,4.255707837346714e-05,20,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6449838106074619,2023-08-24 13:27:29.600815,2023-08-24 13:27:31.002528,0 days 00:00:01.401713,0.5,3,0.9,3.5458731165825883e-07,1.519476927839378e-07,20,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6498322632245451,2023-08-24 13:27:29.683089,2023-08-24 13:27:31.325077,0 days 00:00:01.641988,0.8,2,0.9,7.573890687741275e-08,0.0004976180857595129,90,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6476576495407971,2023-08-24 13:27:30.007399,2023-08-24 13:27:30.896621,0 days 00:00:00.889222,0.4,3,0.5,4.059910637443849e-08,1.358604916762416e-07,80,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6520399605374247,2023-08-24 13:27:30.056029,2023-08-24 13:27:30.825407,0 days 00:00:00.769378,0.4,1,0.9,1.0541843940330588e-05,0.591284199660876,10,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6400583074033582,2023-08-24 13:27:30.314329,2023-08-24 13:27:33.127900,0 days 00:00:02.813571,0.4,1,0.5,5.09862594456729e-08,0.5535832832898367,20,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6371243568346077,2023-08-24 13:27:30.608349,2023-08-24 13:27:33.389681,0 days 00:00:02.781332,0.4,1,0.6000000000000001,2.2091539347586073e-08,0.8109063150903975,20,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6329765545361876,2023-08-24 13:27:30.867076,2023-08-24 13:27:32.498978,0 days 00:00:01.631902,0.5,1,0.6000000000000001,1.946006020960527e-08,7.890454792589947e-05,40,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6480743766398448,2023-08-24 13:27:30.956069,2023-08-24 13:27:33.210031,0 days 00:00:02.253962,0.6000000000000001,1,0.6000000000000001,1.093685602657898e-08,8.918646346979052e-05,40,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6437262452379602,2023-08-24 13:27:31.054758,2023-08-24 13:27:33.018901,0 days 00:00:01.964143,0.6000000000000001,1,0.6000000000000001,6.989860635971874e-08,5.8142532189435736e-05,40,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6437262452379602,2023-08-24 13:27:31.183681,2023-08-24 13:27:33.316448,0 days 00:00:02.132767,0.6000000000000001,1,0.6000000000000001,5.3452945788326266e-08,4.081651781338439e-05,40,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6437262452379602,2023-08-24 13:27:31.367546,2023-08-24 13:27:33.739508,0 days 00:00:02.371962,0.6000000000000001,1,0.6000000000000001,1.3788231794956693e-08,1.552213521114219e-08,40,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6500774355749338,2023-08-24 13:27:32.542210,2023-08-24 13:27:34.693080,0 days 00:00:02.150870,0.6000000000000001,1,0.6000000000000001,5.2875182398377704e-05,2.455522436537864e-05,40,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6437262452379602,2023-08-24 13:27:32.623858,2023-08-24 13:27:34.972156,0 days 00:00:02.348298,0.6000000000000001,1,0.6000000000000001,1.1748595913285e-08,1.455222987533903e-08,40,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6417283368773833,2023-08-24 13:27:33.064598,2023-08-24 13:27:35.262418,0 days 00:00:02.197820,0.6000000000000001,1,0.6000000000000001,0.00015261461169468492,1.2123299244718618e-08,50,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6432679378970453,2023-08-24 13:27:33.175071,2023-08-24 13:27:34.540781,0 days 00:00:01.365710,0.7000000000000001,1,1.0,0.17908437698117188,1.0596870527683292e-08,80,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6422624286115531,2023-08-24 13:27:33.264749,2023-08-24 13:27:34.626339,0 days 00:00:01.361590,0.7000000000000001,1,1.0,0.05071510595329979,1.3224624029664229e-08,80,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6446684631380528,2023-08-24 13:27:33.366417,2023-08-24 13:27:34.858957,0 days 00:00:01.492540,0.7000000000000001,1,1.0,0.1265107085340243,2.1664588995151627e-08,80,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6397917332929368,2023-08-24 13:27:33.437356,2023-08-24 13:27:35.191317,0 days 00:00:01.753961,0.7000000000000001,2,1.0,0.14180537687708172,1.4066136651348261e-08,80,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6466048747830769,2023-08-24 13:27:33.780250,2023-08-24 13:27:35.411336,0 days 00:00:01.631086,0.7000000000000001,2,1.0,0.14274496766933445,6.966113284559309e-06,80,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6516939770303363,2023-08-24 13:27:34.587460,2023-08-24 13:27:36.353021,0 days 00:00:01.765561,0.7000000000000001,2,1.0,0.4810904767174797,1.3431799716014788e-05,100,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6469636246675725,2023-08-24 13:27:34.675658,2023-08-24 13:27:36.124542,0 days 00:00:01.448884,0.5,2,0.8,9.317220749927505e-05,8.55252840410355e-06,90,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6427686565993947,2023-08-24 13:27:34.735851,2023-08-24 13:27:35.964951,0 days 00:00:01.229100,0.5,2,0.8,0.28343307482385727,0.0002770037973433506,100,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.641114394259181,2023-08-24 13:27:34.900651,2023-08-24 13:27:36.527425,0 days 00:00:01.626774,0.8,2,0.8,0.00016016827235878855,1.1353674180465189e-05,100,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
