,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5885238561634252,2023-08-24 13:28:13.143785,2023-08-24 13:28:17.625227,0 days 00:00:04.481442,0.4,2,0.7000000000000001,5.518072661061837e-05,0.0062427355454289825,10,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6082833750607837,2023-08-24 13:28:13.146639,2023-08-24 13:28:13.827425,0 days 00:00:00.680786,0.4,1,0.6000000000000001,0.00031376897591381625,0.008423947053798907,100,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5980179356295667,2023-08-24 13:28:13.149671,2023-08-24 13:28:15.113524,0 days 00:00:01.963853,0.7000000000000001,2,0.7000000000000001,0.0015158013873413723,0.011514920996419362,50,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5913415248544559,2023-08-24 13:28:13.151534,2023-08-24 13:28:15.944795,0 days 00:00:02.793261,0.6000000000000001,3,0.5,3.619804767750013e-05,0.2105606395328818,30,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5826387911030406,2023-08-24 13:28:13.153080,2023-08-24 13:28:16.141990,0 days 00:00:02.988910,0.8,3,0.4,0.0003909672796469788,1.2185765098590025e-06,40,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5904938674625752,2023-08-24 13:28:13.154643,2023-08-24 13:28:14.560523,0 days 00:00:01.405880,0.4,2,0.7000000000000001,1.3284861061663259e-08,1.2356944713686673e-07,50,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6072518182992388,2023-08-24 13:28:13.156802,2023-08-24 13:28:13.421758,0 days 00:00:00.264956,0.6000000000000001,1,0.4,3.023782222016094e-08,4.928312564377876e-06,20,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.596538831695296,2023-08-24 13:28:13.157973,2023-08-24 13:28:14.821356,0 days 00:00:01.663383,0.7000000000000001,3,0.7000000000000001,4.5325561639595585e-08,0.000751165663580802,60,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5976944321560322,2023-08-24 13:28:13.465888,2023-08-24 13:28:16.590634,0 days 00:00:03.124746,0.9,2,0.9,0.004006203609484054,0.662058089485447,40,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6043912907489573,2023-08-24 13:28:13.874826,2023-08-24 13:28:15.430866,0 days 00:00:01.556040,0.8,3,0.9,0.000143908917570907,0.001442685926591842,70,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.590936216470641,2023-08-24 13:28:14.604166,2023-08-24 13:28:19.332542,0 days 00:00:04.728376,0.7000000000000001,2,0.6000000000000001,3.134997073654567e-07,1.2754044148398049e-08,10,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5990852520804568,2023-08-24 13:28:14.874661,2023-08-24 13:28:16.537462,0 days 00:00:01.662801,0.6000000000000001,3,0.9,0.00031901518843757617,2.8464040304950875e-05,90,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.582966005137578,2023-08-24 13:28:15.158228,2023-08-24 13:28:19.899034,0 days 00:00:04.740806,0.7000000000000001,3,1.0,0.002302160850116646,5.803257522139818e-06,20,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.59129119125732,2023-08-24 13:28:15.477756,2023-08-24 13:28:18.346474,0 days 00:00:02.868718,0.7000000000000001,1,0.9,1.2340473212700362e-06,0.0003234742406168897,30,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5931864204328068,2023-08-24 13:28:15.993477,2023-08-24 13:28:17.312814,0 days 00:00:01.319337,0.8,1,0.6000000000000001,0.06242160414560431,0.014630963248338655,100,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5926934816371181,2023-08-24 13:28:16.189224,2023-08-24 13:28:19.430561,0 days 00:00:03.241337,1.0,3,0.5,7.617466071495082e-05,0.0002578559804864278,10,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5954848750244155,2023-08-24 13:28:16.640279,2023-08-24 13:28:17.763133,0 days 00:00:01.122854,0.4,1,0.6000000000000001,0.8956317410608658,1.3677084359082682e-08,100,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6023370760302138,2023-08-24 13:28:16.661631,2023-08-24 13:28:17.555202,0 days 00:00:00.893571,0.4,1,0.6000000000000001,0.32376995766630806,1.855855276465595e-08,100,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6066339054872643,2023-08-24 13:28:17.369909,2023-08-24 13:28:18.284941,0 days 00:00:00.915032,0.4,1,0.4,2.7490005604097282e-06,1.8268964407411124e-05,10,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6165569836225404,2023-08-24 13:28:17.615877,2023-08-24 13:28:18.010121,0 days 00:00:00.394244,0.5,1,0.4,2.773979959757549e-06,2.8917236473289976e-05,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6185888839793088,2023-08-24 13:28:17.695133,2023-08-24 13:28:18.459399,0 days 00:00:00.764266,0.5,1,0.4,1.8300328698794283e-06,3.6227238699752486e-05,10,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6037122081898202,2023-08-24 13:28:17.806966,2023-08-24 13:28:18.681147,0 days 00:00:00.874181,0.5,1,0.4,1.408526448487382e-06,3.772301836357075e-05,10,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6149651334868008,2023-08-24 13:28:18.053655,2023-08-24 13:28:18.603242,0 days 00:00:00.549587,0.5,1,0.5,3.6737670307407717e-06,0.00011766036746228725,80,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5954112309796176,2023-08-24 13:28:18.336582,2023-08-24 13:28:19.851785,0 days 00:00:01.515203,0.5,1,0.5,2.5986853324617773e-06,0.00011919575155899642,80,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6012843750240655,2023-08-24 13:28:18.400794,2023-08-24 13:28:19.633909,0 days 00:00:01.233115,0.5,1,0.5,5.259276808370347e-06,0.0001012123943189728,80,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5930776680088921,2023-08-24 13:28:18.503173,2023-08-24 13:28:19.735367,0 days 00:00:01.232194,0.5,2,0.5,2.7745134336634443e-06,8.683589951466041e-05,20,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.60198343098108,2023-08-24 13:28:18.652210,2023-08-24 13:28:20.083687,0 days 00:00:01.431477,0.5,2,0.5,5.4379000008918e-07,1.3225716960236327e-06,20,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5874263325458053,2023-08-24 13:28:18.751978,2023-08-24 13:28:20.178066,0 days 00:00:01.426088,1.0,2,0.5,2.1325985152381408e-07,2.029769788782365e-06,20,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6012843750240655,2023-08-24 13:28:19.375000,2023-08-24 13:28:20.961423,0 days 00:00:01.586423,0.5,1,0.5,1.9835460534311267e-05,7.735948906088924e-05,80,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6012843750240655,2023-08-24 13:28:19.475539,2023-08-24 13:28:20.626442,0 days 00:00:01.150903,0.5,1,0.5,9.30053972422476e-06,8.715063235269136e-05,80,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.610068068476771,2023-08-24 13:28:19.676298,2023-08-24 13:28:21.139815,0 days 00:00:01.463517,0.5,1,0.5,1.0890641466646474e-05,5.372290141452562e-06,70,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5932410795760967,2023-08-24 13:28:19.781742,2023-08-24 13:28:20.903726,0 days 00:00:01.121984,0.5,1,0.4,1.3228135982932122e-05,4.827285122825116e-06,70,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5963779902843258,2023-08-24 13:28:19.896319,2023-08-24 13:28:21.643760,0 days 00:00:01.747441,0.6000000000000001,1,0.4,1.0717005262453272e-05,5.599613118238291e-06,70,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5965181216102551,2023-08-24 13:28:19.944440,2023-08-24 13:28:21.404278,0 days 00:00:01.459838,0.6000000000000001,1,0.4,9.425298516341434e-06,1.4468199972152525e-06,70,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5965181216102551,2023-08-24 13:28:20.124418,2023-08-24 13:28:21.563934,0 days 00:00:01.439516,0.6000000000000001,1,0.4,9.747012405706953e-06,9.625178748240281e-06,70,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5965181216102551,2023-08-24 13:28:20.224685,2023-08-24 13:28:21.702340,0 days 00:00:01.477655,0.6000000000000001,1,0.4,1.3260502610420013e-05,2.3748241176429434e-05,70,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6061091298304416,2023-08-24 13:28:20.665946,2023-08-24 13:28:20.831495,0 days 00:00:00.165549,0.6000000000000001,1,0.4,1.5682939410602672e-05,1.2792161615681696e-05,60,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5908341409879161,2023-08-24 13:28:20.876884,2023-08-24 13:28:22.977904,0 days 00:00:02.101020,0.6000000000000001,1,0.4,1.6478811600683032e-05,0.00047628711738569187,30,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6134405471188161,2023-08-24 13:28:20.949547,2023-08-24 13:28:22.058275,0 days 00:00:01.108728,0.4,1,0.6000000000000001,3.4207216608879053e-05,0.0032078837752660865,90,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6025774141777134,2023-08-24 13:28:21.005436,2023-08-24 13:28:22.284553,0 days 00:00:01.279117,0.4,1,0.8,5.083711819293228e-05,0.0018630660451092766,90,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5965181216102551,2023-08-24 13:28:21.184300,2023-08-24 13:28:23.105614,0 days 00:00:01.921314,0.6000000000000001,1,0.4,3.392568448421731e-05,2.7558555902080003e-05,70,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.605053381763112,2023-08-24 13:28:21.444204,2023-08-24 13:28:22.363416,0 days 00:00:00.919212,0.6000000000000001,1,0.8,4.122727127847116e-05,1.8983043975147282e-05,90,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.6107498708116387,2023-08-24 13:28:21.606574,2023-08-24 13:28:22.487752,0 days 00:00:00.881178,0.4,1,0.8,3.7671076344716484e-05,2.1752004102565467e-05,90,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5946060835836566,2023-08-24 13:28:21.687234,2023-08-24 13:28:22.763819,0 days 00:00:01.076585,0.4,1,0.6000000000000001,4.45610604937728e-05,4.5145839593174354e-07,90,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5979781690035688,2023-08-24 13:28:21.758250,2023-08-24 13:28:22.698316,0 days 00:00:00.940066,0.4,2,0.8,6.389349722375903e-05,4.20943294360642e-07,90,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.6051731898770745,2023-08-24 13:28:22.101856,2023-08-24 13:28:23.413559,0 days 00:00:01.311703,0.4,2,0.6000000000000001,5.553462787148524e-05,0.0023978436910731173,90,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.6081547017884967,2023-08-24 13:28:22.324479,2023-08-24 13:28:23.627731,0 days 00:00:01.303252,0.4,2,0.6000000000000001,3.440192803379435e-05,0.0030794506672956173,90,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.6196494583562903,2023-08-24 13:28:22.406803,2023-08-24 13:28:23.355495,0 days 00:00:00.948692,0.4,2,0.6000000000000001,1.3548001604094552e-07,0.00707910447878873,30,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.6072587445373976,2023-08-24 13:28:22.532961,2023-08-24 13:28:23.242465,0 days 00:00:00.709504,0.4,1,0.8,0.00012591064316684188,0.0003493663403867795,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.606827667788021,2023-08-24 13:28:22.743949,2023-08-24 13:28:23.808881,0 days 00:00:01.064932,0.4,1,0.6000000000000001,0.00013199893910819527,0.00040049658630741844,30,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.6143443196774103,2023-08-24 13:28:22.813693,2023-08-24 13:28:23.584330,0 days 00:00:00.770637,0.4,1,0.7000000000000001,0.00012680087276403852,0.0004384923308558537,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.6181421068060324,2023-08-24 13:28:23.022717,2023-08-24 13:28:23.977584,0 days 00:00:00.954867,0.4,1,0.7000000000000001,0.0001264731012257556,4.191257534740116e-05,50,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.6104519932622123,2023-08-24 13:28:23.148420,2023-08-24 13:28:23.739435,0 days 00:00:00.591015,0.4,1,0.7000000000000001,7.30598481697532e-07,0.00367079175048293,50,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5889766166769864,2023-08-24 13:28:23.286704,2023-08-24 13:28:24.835771,0 days 00:00:01.549067,0.4,2,0.7000000000000001,0.0002391111674475077,0.0047313747066696785,50,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.6132700397059402,2023-08-24 13:28:23.398967,2023-08-24 13:28:24.120247,0 days 00:00:00.721280,0.5,2,0.6000000000000001,1.0444218927785402e-07,0.005399598337242824,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.5959797634715727,2023-08-24 13:28:23.463038,2023-08-24 13:28:25.746627,0 days 00:00:02.283589,0.5,2,0.7000000000000001,1.797682829145918e-07,0.003467776814895005,50,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.5817734343956316,2023-08-24 13:28:23.628910,2023-08-24 13:28:25.801911,0 days 00:00:02.173001,0.5,2,0.7000000000000001,7.726611619725573e-08,0.007329451265522812,40,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.6185108789673298,2023-08-24 13:28:23.680775,2023-08-24 13:28:24.358476,0 days 00:00:00.677701,0.5,2,0.7000000000000001,2.863670070647813e-07,0.0008251474003265408,50,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.5996729500091054,2023-08-24 13:28:23.799093,2023-08-24 13:28:26.301504,0 days 00:00:02.502411,0.5,2,0.7000000000000001,2.1042263959473361e-07,0.0009291317421067409,40,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.599512704327694,2023-08-24 13:28:23.857318,2023-08-24 13:28:25.094465,0 days 00:00:01.237147,0.5,2,0.7000000000000001,1.7411750597176345e-07,0.0142155384184531,30,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5996729500091054,2023-08-24 13:28:24.035348,2023-08-24 13:28:25.947578,0 days 00:00:01.912230,0.5,2,0.7000000000000001,9.892757178671655e-08,0.0009916618491415973,40,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.5845788550529929,2023-08-24 13:28:24.167062,2023-08-24 13:28:25.333845,0 days 00:00:01.166783,0.5,1,0.7000000000000001,1.2267165472545379e-08,0.0009555977426883954,40,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5927493483091026,2023-08-24 13:28:24.401478,2023-08-24 13:28:26.056518,0 days 00:00:01.655040,0.5,2,0.7000000000000001,1.4938565717224252e-07,0.012895259815873179,50,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.5938065036725565,2023-08-24 13:28:24.884108,2023-08-24 13:28:26.138002,0 days 00:00:01.253894,0.5,3,0.7000000000000001,1.6267071665369298e-07,0.0011632627325773063,40,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5866383129541024,2023-08-24 13:28:25.138058,2023-08-24 13:28:26.598883,0 days 00:00:01.460825,0.5,3,0.7000000000000001,4.639053850567037e-08,0.0012398877314235815,60,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.5927983615401354,2023-08-24 13:28:25.378215,2023-08-24 13:28:26.918825,0 days 00:00:01.540610,0.5,3,0.5,4.9965463512856754e-08,0.0002269235423212688,60,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
66,66,0.6004613765668386,2023-08-24 13:28:25.791220,2023-08-24 13:28:27.257651,0 days 00:00:01.466431,0.5,3,0.5,5.598652386350485e-08,0.00019610052301361681,10,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
67,67,0.5997226890756302,2023-08-24 13:28:25.847518,2023-08-24 13:28:29.555019,0 days 00:00:03.707501,0.9,3,0.5,2.7870787173178275e-08,0.0010072131154740202,10,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
68,68,0.6175706450118068,2023-08-24 13:28:25.988859,2023-08-24 13:28:26.717100,0 days 00:00:00.728241,0.9,3,0.7000000000000001,4.044454124322581e-07,0.00018080623136293783,10,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
69,69,0.6197122894697853,2023-08-24 13:28:26.113148,2023-08-24 13:28:27.073476,0 days 00:00:00.960328,0.9,3,0.8,4.012431177157569e-07,5.1606670522804733e-05,10,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
70,70,0.6063983571880137,2023-08-24 13:28:26.189213,2023-08-24 13:28:26.840186,0 days 00:00:00.650973,0.4,3,0.5,4.536897684229614e-07,0.00019007450783937977,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
71,71,0.6121720133105816,2023-08-24 13:28:26.340728,2023-08-24 13:28:27.134149,0 days 00:00:00.793421,0.4,3,0.5,6.422360600657432e-07,0.00016097401035044628,10,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
72,72,0.6159935471697409,2023-08-24 13:28:26.641660,2023-08-24 13:28:27.501971,0 days 00:00:00.860311,0.9,1,0.5,5.611079041490992e-07,0.00017479127463271654,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
73,73,0.6253062577549308,2023-08-24 13:28:26.756862,2023-08-24 13:28:27.624840,0 days 00:00:00.867978,0.9,3,0.5,4.949221539372678e-07,0.0001685911997929136,10,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
74,74,0.6273602111579029,2023-08-24 13:28:26.885969,2023-08-24 13:28:27.822485,0 days 00:00:00.936516,0.9,3,0.5,1.0502965607065285e-06,4.9387098441094896e-05,10,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
75,75,0.6128606084792221,2023-08-24 13:28:26.964115,2023-08-24 13:28:27.954983,0 days 00:00:00.990868,0.8,3,0.8,1.0377099069924174e-06,5.2913076425650625e-05,10,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
76,76,0.6004613765668386,2023-08-24 13:28:27.113500,2023-08-24 13:28:28.747603,0 days 00:00:01.634103,0.9,3,1.0,1.1995824800017952e-06,5.234403990700358e-05,10,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
