,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7067954987602162,2023-08-24 13:30:54.484520,2023-08-24 13:30:55.277201,0 days 00:00:00.792681,0.7000000000000001,1,1.0,0.00015509744752503822,0.12452590279899309,40,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6885211039517488,2023-08-24 13:30:54.485573,2023-08-24 13:30:58.154990,0 days 00:00:03.669417,0.8,2,0.5,2.0101907404075768e-07,0.0024903187886258045,40,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.683238827128255,2023-08-24 13:30:54.486262,2023-08-24 13:30:56.388768,0 days 00:00:01.902506,0.8,3,0.8,2.820738015467073e-06,0.059745510239057414,60,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6841096986896384,2023-08-24 13:30:54.488571,2023-08-24 13:30:57.462952,0 days 00:00:02.974381,1.0,1,0.9,0.03187256407033182,0.0003282520009863931,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6832441445995274,2023-08-24 13:30:54.489490,2023-08-24 13:30:59.649754,0 days 00:00:05.160264,0.6000000000000001,3,0.9,0.004002730049172255,2.611255531465052e-08,10,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.675982591806304,2023-08-24 13:30:54.490351,2023-08-24 13:30:58.467242,0 days 00:00:03.976891,0.6000000000000001,2,0.4,0.5421840765744681,2.574562162057537e-07,30,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6861331057702171,2023-08-24 13:30:54.491545,2023-08-24 13:30:55.482620,0 days 00:00:00.991075,0.5,1,0.8,5.6130518921707916e-06,1.7061093621695423e-06,80,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6933665362101389,2023-08-24 13:30:54.492381,2023-08-24 13:30:56.035733,0 days 00:00:01.543352,0.8,3,0.8,0.2324934220245729,0.884699234291624,40,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6842045624114004,2023-08-24 13:30:55.328962,2023-08-24 13:30:56.442418,0 days 00:00:01.113456,0.5,1,0.7000000000000001,0.0008679328019562846,0.9143905364102928,90,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6619232850133393,2023-08-24 13:30:55.536582,2023-08-24 13:31:00.641658,0 days 00:00:05.105076,0.9,2,0.4,2.885864769015634e-05,1.0861652952165466e-06,10,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.68468867984137,2023-08-24 13:30:56.080241,2023-08-24 13:30:57.094555,0 days 00:00:01.014314,0.6000000000000001,1,0.9,0.0001915312481435344,1.99127472661176e-08,90,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6900041780989277,2023-08-24 13:30:56.435159,2023-08-24 13:30:59.319667,0 days 00:00:02.884508,0.9,2,0.5,0.015083655755003016,2.530907046852963e-07,50,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6929013353129564,2023-08-24 13:30:56.495463,2023-08-24 13:30:59.070255,0 days 00:00:02.574792,1.0,2,0.9,0.0014451148689121045,0.08242895633050552,50,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7102604997341839,2023-08-24 13:30:57.142526,2023-08-24 13:30:57.362834,0 days 00:00:00.220308,0.7000000000000001,2,0.9,4.9416117964926404e-05,0.0522144937355527,30,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6943274643675487,2023-08-24 13:30:57.410283,2023-08-24 13:30:58.344665,0 days 00:00:00.934382,0.4,2,0.7000000000000001,3.358228895575305e-05,0.0141760628264426,70,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6769673472157037,2023-08-24 13:30:57.506277,2023-08-24 13:31:00.351611,0 days 00:00:02.845334,0.6000000000000001,1,0.6000000000000001,1.1657135331206425e-07,4.063839016845971e-08,20,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6904804705870284,2023-08-24 13:30:58.207657,2023-08-24 13:30:59.007319,0 days 00:00:00.799662,0.4,3,0.7000000000000001,3.3808556181585276e-05,0.8360418079315893,90,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.701591693759128,2023-08-24 13:30:58.402344,2023-08-24 13:30:59.433965,0 days 00:00:01.031621,1.0,2,0.4,1.62510605061193e-08,6.534846850129722e-05,20,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7140916934844457,2023-08-24 13:30:58.514897,2023-08-24 13:30:58.913265,0 days 00:00:00.398368,0.7000000000000001,2,1.0,1.636045829134117e-08,0.0003840999958169032,10,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7024641810287727,2023-08-24 13:30:58.963789,2023-08-24 13:30:59.551244,0 days 00:00:00.587455,1.0,2,1.0,1.0531983303156688e-08,0.00011938436691497585,10,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7044601968008208,2023-08-24 13:30:59.055055,2023-08-24 13:30:59.846347,0 days 00:00:00.791292,1.0,2,1.0,1.2540123403215788e-08,5.670656536315747e-05,10,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7097922845897209,2023-08-24 13:30:59.128862,2023-08-24 13:30:59.898052,0 days 00:00:00.769190,0.7000000000000001,2,1.0,1.3775932292683045e-08,4.8323775363507453e-05,10,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
