,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6270084895933714,2023-08-24 13:32:39.222895,2023-08-24 13:32:41.390522,0 days 00:00:02.167627,0.7000000000000001,2,1.0,0.014474438299627086,3.02614524337479e-08,40,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6051227876209839,2023-08-24 13:32:39.223990,2023-08-24 13:32:40.756844,0 days 00:00:01.532854,0.5,2,0.4,1.1280965018922739e-07,0.07181674251758764,40,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6193143966402415,2023-08-24 13:32:39.224922,2023-08-24 13:32:41.187706,0 days 00:00:01.962784,0.9,2,0.9,2.5019782992472228e-08,0.056198389955336735,80,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6011350472912942,2023-08-24 13:32:39.227129,2023-08-24 13:32:43.846199,0 days 00:00:04.619070,0.4,1,0.9,6.588870823930718e-06,2.0645508762657613e-08,10,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6158951935614406,2023-08-24 13:32:39.227930,2023-08-24 13:32:40.713201,0 days 00:00:01.485271,0.9,2,0.7000000000000001,0.24586283326608238,0.033925759604398156,80,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6089516168329041,2023-08-24 13:32:39.228588,2023-08-24 13:32:40.932867,0 days 00:00:01.704279,0.8,2,1.0,6.005468436790745e-07,5.880437571505356e-07,10,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5982701030614238,2023-08-24 13:32:39.229361,2023-08-24 13:32:44.224566,0 days 00:00:04.995205,0.9,2,0.8,3.7752530028822213e-06,1.8434828846543763e-07,20,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6200333901551763,2023-08-24 13:32:39.229850,2023-08-24 13:32:40.395658,0 days 00:00:01.165808,0.7000000000000001,3,0.8,0.17950268459446128,1.0979029838445388e-08,90,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6151170302406141,2023-08-24 13:32:40.437012,2023-08-24 13:32:42.655701,0 days 00:00:02.218689,0.9,1,0.8,0.20055029179077624,0.000126175164204572,60,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6089762261891644,2023-08-24 13:32:40.803743,2023-08-24 13:32:44.074139,0 days 00:00:03.270396,0.9,3,0.9,0.0036961219052600593,1.610657646559743e-08,20,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6047391146949976,2023-08-24 13:32:40.807380,2023-08-24 13:32:41.667717,0 days 00:00:00.860337,0.5,1,1.0,0.00010165957335603403,4.0875653232412285e-05,30,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6142205743521599,2023-08-24 13:32:40.976593,2023-08-24 13:32:41.963515,0 days 00:00:00.986922,0.5,1,0.6000000000000001,0.0035485878928627427,0.001949373019290335,90,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6180923091342577,2023-08-24 13:32:41.232697,2023-08-24 13:32:42.195022,0 days 00:00:00.962325,0.6000000000000001,2,0.4,0.001202290401116416,8.879842984193138e-05,100,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6023663861894308,2023-08-24 13:32:41.431342,2023-08-24 13:32:43.011524,0 days 00:00:01.580182,0.8,1,0.7000000000000001,9.397609099478374e-06,3.4774273068388165e-08,90,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6185513910942224,2023-08-24 13:32:41.710993,2023-08-24 13:32:43.453373,0 days 00:00:01.742380,0.8,2,0.7000000000000001,7.084206709326744e-08,8.255954065001221e-07,70,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5893563291494415,2023-08-24 13:32:42.010418,2023-08-24 13:32:45.505197,0 days 00:00:03.494779,0.8,1,0.4,9.570851193280893e-08,6.651182828330245e-05,30,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.61485146726947,2023-08-24 13:32:42.241754,2023-08-24 13:32:43.240075,0 days 00:00:00.998321,0.9,2,0.8,3.6512635661854704e-06,5.13390213912259e-07,90,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6054222451081359,2023-08-24 13:32:42.699283,2023-08-24 13:32:44.906956,0 days 00:00:02.207673,0.7000000000000001,3,0.6000000000000001,3.840852393316088e-06,1.7603241934486812e-08,50,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6112449635434719,2023-08-24 13:32:43.064742,2023-08-24 13:32:45.041951,0 days 00:00:01.977209,0.7000000000000001,3,0.9,0.9304487205324027,1.557934073015657e-08,60,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5969309080020959,2023-08-24 13:32:43.284227,2023-08-24 13:32:45.244103,0 days 00:00:01.959876,0.7000000000000001,3,0.9,0.025812322024867305,3.07388390152441e-08,60,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5904489370773742,2023-08-24 13:32:43.500264,2023-08-24 13:32:46.121510,0 days 00:00:02.621246,0.7000000000000001,3,0.9,0.019140753980103106,1.072552624405686e-08,40,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6079521552570323,2023-08-24 13:32:43.889185,2023-08-24 13:32:46.610410,0 days 00:00:02.721225,0.7000000000000001,3,0.9,0.9607884212561042,6.631864900632173e-08,40,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6148772068694259,2023-08-24 13:32:44.123697,2023-08-24 13:32:45.983060,0 days 00:00:01.859363,0.7000000000000001,3,0.6000000000000001,0.8423718997698566,1.09961723817015e-08,50,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
