,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7388569240253311,2023-08-24 13:33:46.381581,2023-08-24 13:33:47.001236,0 days 00:00:00.619655,0.4,2,1.0,0.6519423788572215,1.4362726536478029e-06,90,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7316709329728859,2023-08-24 13:33:46.384289,2023-08-24 13:33:47.538870,0 days 00:00:01.154581,0.8,1,0.7000000000000001,2.2157013517661465e-08,1.9673303211254913e-06,90,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7292249187039704,2023-08-24 13:33:46.385513,2023-08-24 13:33:48.044344,0 days 00:00:01.658831,0.8,2,0.8,0.037794319874295705,0.05448833500838388,80,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7346074744038537,2023-08-24 13:33:46.388653,2023-08-24 13:33:48.933809,0 days 00:00:02.545156,0.8,3,1.0,0.004942660270815144,3.5240126652287835e-07,50,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.730645879493518,2023-08-24 13:33:46.390701,2023-08-24 13:33:47.718269,0 days 00:00:01.327568,0.6000000000000001,1,0.8,1.439810347618816e-06,0.011555241388817255,100,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7326910522481822,2023-08-24 13:33:46.391826,2023-08-24 13:33:49.961671,0 days 00:00:03.569845,1.0,3,1.0,0.012622207155726303,1.5402218758280633e-07,30,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7270930546877423,2023-08-24 13:33:46.393429,2023-08-24 13:33:50.736644,0 days 00:00:04.343215,0.7000000000000001,1,0.5,9.15512464641807e-06,0.0001452573333062663,20,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7356966957333255,2023-08-24 13:33:46.394968,2023-08-24 13:33:48.391238,0 days 00:00:01.996270,0.8,1,1.0,3.903697944041742e-06,0.00031981587341642706,70,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7366060416825644,2023-08-24 13:33:47.047328,2023-08-24 13:33:48.787826,0 days 00:00:01.740498,0.8,1,0.9,2.311923196325631e-05,0.0001423538425678125,70,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7278216803221956,2023-08-24 13:33:47.597458,2023-08-24 13:33:51.166074,0 days 00:00:03.568616,0.8,1,0.9,0.8094198438299341,7.755494839468459e-08,30,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7250824989950546,2023-08-24 13:33:47.760927,2023-08-24 13:33:50.316111,0 days 00:00:02.555184,0.5,3,0.7000000000000001,4.410120346452644e-07,0.009622970078996287,30,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.736980017817555,2023-08-24 13:33:48.091665,2023-08-24 13:33:50.632632,0 days 00:00:02.540967,0.5,2,0.9,4.164593938604953e-07,0.014746463974329344,30,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7363875332961981,2023-08-24 13:33:48.437207,2023-08-24 13:33:49.372798,0 days 00:00:00.935591,0.4,3,0.5,0.21524097509978332,3.4234314292197937e-07,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7384212744250005,2023-08-24 13:33:48.833123,2023-08-24 13:33:53.543444,0 days 00:00:04.710321,0.5,2,0.6000000000000001,0.0005008227697552761,2.6862977357743462e-08,10,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.734097436989228,2023-08-24 13:33:48.978930,2023-08-24 13:33:51.092087,0 days 00:00:02.113157,0.7000000000000001,2,0.9,1.773408442325009e-05,1.055346813162555e-06,70,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7375875668338452,2023-08-24 13:33:49.418159,2023-08-24 13:33:50.374601,0 days 00:00:00.956442,0.7000000000000001,1,1.0,0.0014737690270477215,0.06784649623295386,70,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7253161719377558,2023-08-24 13:33:50.007512,2023-08-24 13:33:51.293378,0 days 00:00:01.285866,0.5,1,0.6000000000000001,0.05433189075446579,0.6254728319952478,90,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.730878136740065,2023-08-24 13:33:50.362330,2023-08-24 13:33:52.884986,0 days 00:00:02.522656,0.4,2,0.4,0.7808768443282432,2.2380303674919882e-08,10,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7350079387316708,2023-08-24 13:33:50.429630,2023-08-24 13:33:51.386679,0 days 00:00:00.957049,0.6000000000000001,2,0.4,0.6548299528181694,0.8520387092594263,100,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7369613495981426,2023-08-24 13:33:50.681502,2023-08-24 13:33:52.069524,0 days 00:00:01.388022,0.6000000000000001,2,0.4,0.7547715294707095,0.6017716842538677,100,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7389139882747788,2023-08-24 13:33:50.794577,2023-08-24 13:33:51.958067,0 days 00:00:01.163490,0.6000000000000001,2,0.4,0.0007899436829660702,0.4406173561713288,100,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7370109528781854,2023-08-24 13:33:51.136760,2023-08-24 13:33:51.671779,0 days 00:00:00.535019,1.0,2,0.4,0.00044807800359573474,0.8526306879951744,100,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7339364465373548,2023-08-24 13:33:51.214988,2023-08-24 13:33:52.380245,0 days 00:00:01.165257,1.0,2,0.4,0.0017539197501547027,0.7391386651155296,100,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7353076352420951,2023-08-24 13:33:51.338448,2023-08-24 13:33:52.260757,0 days 00:00:00.922309,1.0,2,0.4,0.00042676719687409785,9.534878430988372e-06,50,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7302992707271445,2023-08-24 13:33:51.440137,2023-08-24 13:33:54.427186,0 days 00:00:02.987049,1.0,2,0.8,0.0010381705809809952,9.989931355469486e-06,50,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.7338136309825808,2023-08-24 13:33:51.715341,2023-08-24 13:33:53.137026,0 days 00:00:01.421685,0.4,2,0.8,0.0007645047620602884,1.0851057372908084e-08,50,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.7375079391644672,2023-08-24 13:33:52.002366,2023-08-24 13:33:53.832465,0 days 00:00:01.830099,0.4,2,0.6000000000000001,0.0004589519480856073,1.016676069922839e-05,50,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.7375079391644672,2023-08-24 13:33:52.124164,2023-08-24 13:33:53.651300,0 days 00:00:01.527136,0.4,2,0.6000000000000001,0.00023462821593322574,1.1452994574095352e-05,50,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.7281314235527152,2023-08-24 13:33:52.319908,2023-08-24 13:33:53.495834,0 days 00:00:01.175926,0.4,2,0.8,0.0003790346615489361,3.5390579989885706e-08,80,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.736013032588943,2023-08-24 13:33:52.428283,2023-08-24 13:33:53.287168,0 days 00:00:00.858885,0.4,2,0.8,0.00016683620546567598,3.4971172587130256e-08,90,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.7289037414625508,2023-08-24 13:33:52.931186,2023-08-24 13:33:54.245096,0 days 00:00:01.313910,0.4,3,0.8,0.00015048968309104165,0.0019742267550488077,80,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.728238068553283,2023-08-24 13:33:53.197888,2023-08-24 13:33:54.660934,0 days 00:00:01.463046,0.6000000000000001,3,0.6000000000000001,0.00017881059565211726,0.000696208595209763,80,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.7366060416825644,2023-08-24 13:33:53.343383,2023-08-24 13:33:55.350848,0 days 00:00:02.007465,0.9,3,0.6000000000000001,0.005435252563589685,0.0012718733721354871,80,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.7344311782153865,2023-08-24 13:33:53.544665,2023-08-24 13:33:55.785367,0 days 00:00:02.240702,0.5,3,0.6000000000000001,5.1832666788400706e-05,1.4390534682025119e-05,40,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.7344311782153865,2023-08-24 13:33:53.599803,2023-08-24 13:33:56.063683,0 days 00:00:02.463880,0.5,3,0.6000000000000001,6.502890394707935e-05,1.1513823915743375e-05,40,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.7252951319803688,2023-08-24 13:33:53.694306,2023-08-24 13:33:57.417757,0 days 00:00:03.723451,0.5,3,0.6000000000000001,0.006364001125092892,0.0013737444453326157,10,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.7321636001673316,2023-08-24 13:33:53.892304,2023-08-24 13:33:55.059044,0 days 00:00:01.166740,0.5,3,0.5,8.745798254615682e-05,1.3207315134473613e-06,80,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.7208154749597274,2023-08-24 13:33:54.287686,2023-08-24 13:33:59.965580,0 days 00:00:05.677894,0.5,3,0.5,0.009245131769452426,4.657934887580251e-06,10,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.7345898801010398,2023-08-24 13:33:54.473424,2023-08-24 13:33:55.542781,0 days 00:00:01.069357,0.5,1,0.5,0.002889115066083011,0.13138666485235007,90,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.7345898801010398,2023-08-24 13:33:54.703763,2023-08-24 13:33:55.717412,0 days 00:00:01.013649,0.5,1,0.5,0.0034840380685972503,0.13454075929381346,90,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
